independent_var,dependent_var
0.2835697114,0.2075252703
0.5088983565,0.8462964495
0.8209454049,0.3841340389
0.1125551678,0.70790424
0.7774302381,0.1511557003
0.9978126045,0.7151334432
0.8886528112,0.8011941417
0.1403749645,0.5449083734
0.7505299649,0.3806032104
0.9734814874,0.5075227204
0.6752266747,0.3833771099
0.7725527943,0.816916722
0.6676379176,0.2630319062
0.5072073827,0.4020931198
0.5363702038,0.3857875553
0.7588232206,0.3961768502
0.9253859547,0.5503250021
0.5606083949,0.1124753412
0.2018881009,0.3878694508
0.3071843393,0.270997274
0.8166865429,0.9260778445
0.20197355,0.4742401128
0.9652017064,0.3511845783
0.06322313565,0.4476573564
0.120424994,0.5350865908
0.6932847586,0.358068809
